"player_id","season","seas_id","g","gs","mp","fg_per_100_poss","fg_percent","x3p_per_100_poss","x3p_percent","x2p_per_100_poss","x2p_percent","ft_per_100_poss","ft_percent","orb_per_100_poss","drb_per_100_poss","trb_per_100_poss","ast_per_100_poss","stl_per_100_poss","blk_per_100_poss","tov_per_100_poss","pf_per_100_poss","pts_per_100_poss","player","pos","tm","experience","bad_pass_turnover","lost_ball_turnover","shooting_foul_committed","offensive_foul_committed","shooting_foul_drawn","offensive_foul_drawn","topconf","topdivision","playoffs","all_nba","all_defense","all_rookie"
3116,2017,17,54,54,1424,10.8,0.437,2.9,0.378,7.9,0.463,3.6,0.875,0.8,12.1,12.9,3,1.1,1.4,1.9,4.1,28.1,"Dirk Nowitzki","PF","DAL",19,26,19,77,6,31,4,0,0,0,0,0,0
3116,2018,18,77,77,1900,9.1,0.456,3.6,0.409,5.5,0.494,2.6,0.898,0.6,11,11.6,3.2,1.1,1.2,1.3,3.9,24.5,"Dirk Nowitzki","C","DAL",20,24,18,102,5,39,3,0,0,0,0,0,0
3116,2019,19,51,20,795,8.2,0.359,3.9,0.312,4.3,0.415,2.4,0.78,0.3,9.3,9.6,2.1,0.5,1.1,1.1,4.6,22.8,"Dirk Nowitzki","PF","DAL",21,6,7,48,2,17,1,0,0,0,0,0,0
3146,2017,17,25,7,277,5.1,0.4,2.7,0.349,2.3,0.481,1.8,0.769,0.2,8.5,8.7,1.8,0.7,0.9,2.9,7.2,14.6,"Paul Pierce","SF","LAC",19,7,4,27,1,5,1,0,0,1,0,0,0
3166,2017,17,73,15,1799,5.6,0.394,3.2,0.378,2.3,0.418,2.5,0.765,1,5.5,6.6,3.8,1.7,1,1.4,4.7,16.9,"Vince Carter","SF","MEM",19,30,8,108,8,40,3,0,0,1,0,0,0
3166,2018,18,58,5,1026,5.6,0.403,2.8,0.345,2.8,0.483,1.4,0.757,0.9,6.4,7.3,3.4,2.1,1.3,1.8,4.7,15.4,"Vince Carter","SF","SAC",20,24,4,59,4,14,6,0,0,0,0,0,0
3166,2019,19,76,9,1330,6.8,0.419,4.3,0.389,2.5,0.48,1.6,0.712,1.1,5.7,6.7,3,1.5,0.9,1.7,4.9,19.5,"Vince Carter","PF","ATL",21,31,7,74,5,22,14,0,0,0,0,0,0
3194,2017,17,74,0,1365,3.9,0.432,2.7,0.427,1.2,0.444,0.9,0.828,0.6,3.4,3.9,3.6,1.7,0.7,1.3,3.5,11.4,"Jason Terry","SG","MIL",18,24,5,36,4,13,3,0,0,1,0,0,0
3194,2018,18,51,4,814,3.6,0.383,2.5,0.348,1.2,0.487,0.5,0.889,0.3,2.6,2.9,3.6,2.6,0.8,1.5,3.2,10.2,"Jason Terry","SG","MIL",19,19,2,22,0,1,1,0,0,1,0,0,0
3205,2017,17,25,2,160,5.8,0.279,2.7,0.237,3,0.333,3,0.625,1.5,4.6,6.1,3.3,3,0.6,2.1,5.5,17.4,"Metta World Peace","SF","LAL",17,3,2,6,2,6,0,0,0,0,0,0,0
3258,2017,17,82,1,2157,8.3,0.413,2.7,0.36,5.6,0.443,4,0.857,0.4,2.6,3,5,1.4,0.3,3.1,2.7,23.4,"Jamal Crawford","SG","LAC",17,76,43,48,6,75,9,0,0,1,0,0,0
3258,2018,18,80,0,1653,9.3,0.415,3.1,0.331,6.2,0.477,3.1,0.903,0.6,2.4,3,5.6,1.2,0.3,2.9,2.6,24.9,"Jamal Crawford","SG","MIN",18,59,18,40,8,43,11,0,0,1,0,0,0
3258,2019,19,64,0,1211,6.9,0.397,2.6,0.332,4.2,0.453,3.7,0.845,0.3,3,3.4,9,1.3,0.5,3.9,3,20,"Jamal Crawford","SG","PHO",19,71,19,25,4,36,6,0,0,0,0,0,0
3276,2017,17,20,0,151,2.9,0.391,2.6,0.4,0.3,0.333,0.6,1,0.6,11.6,12.3,7.1,0.6,0,4.2,2.9,9.1,"Mike Miller","SF","DEN",17,10,0,4,2,0,0,0,0,0,0,0,0
3307,2017,17,12,0,114,3.9,0.409,0,0,3.9,0.474,4.4,0.714,3.9,9.6,13.6,2.2,2.2,3.1,2.2,8.8,12.3,"Chris Andersen","C","CLE",15,3,1,13,1,6,1,0,1,1,0,0,0
3327,2017,17,78,14,1843,7.8,0.436,3,0.411,4.8,0.454,1.8,0.818,0.9,6,6.9,4.1,1,0.5,2,2.6,20.3,"Joe Johnson","SF","UTA",16,35,27,45,4,27,0,0,1,1,0,0,0
3341,2017,17,64,39,1627,9.5,0.502,1.8,0.538,7.7,0.494,4.1,0.707,3.4,12.3,15.7,4.7,0.8,2.2,2.5,3.4,24.8,"Pau Gasol","C","SAS",16,47,24,68,4,79,6,0,1,1,0,0,0
3341,2018,18,77,63,1812,8,0.458,1.2,0.358,6.8,0.481,4.4,0.756,3.6,13.7,17.3,6.6,0.7,2.2,3,3.4,21.6,"Pau Gasol","C","SAS",17,66,25,90,8,89,2,0,0,1,0,0,0
3345,2017,17,79,13,1614,4.7,0.446,1.9,0.333,2.8,0.58,2.5,0.741,0.9,5.4,6.3,2.4,0.8,0.3,1.6,4.7,13.9,"Richard Jefferson","SF","CLE",16,23,12,74,11,46,16,0,1,1,0,0,0
3345,2018,18,20,0,163,3.6,0.444,0.6,0.286,3,0.5,1.2,0.571,0.6,4.6,5.2,4.6,0.6,0.3,1.5,3.3,9.1,"Richard Jefferson","SF","DEN",17,5,0,6,0,4,0,0,0,0,0,0,0
3355,2017,17,63,63,1587,8.5,0.466,0.7,0.333,7.8,0.484,2.7,0.726,0.3,3.3,3.6,9.2,1.1,0.1,2.9,3,20.5,"Tony Parker","PG","SAS",16,55,21,47,7,54,5,0,1,1,0,0,0
3355,2018,18,55,21,1071,8.4,0.459,0.5,0.27,7.9,0.479,2.6,0.705,0.3,4.2,4.5,9.2,1.3,0,3.2,2.5,19.9,"Tony Parker","PG","SAS",17,40,18,21,2,33,2,0,0,1,0,0,0
3355,2019,19,56,0,1003,10.3,0.46,0.6,0.255,9.7,0.485,4.4,0.734,0.7,3.3,4,10,1,0.3,3.6,2.6,25.7,"Tony Parker","PG","CHO",18,40,14,18,5,51,3,0,0,0,0,0,0
3362,2017,17,73,5,1786,12.6,0.449,0.6,0.223,12,0.474,4.1,0.731,5.3,12.1,17.4,3.6,1.1,0.3,2.9,4,29.9,"Zach Randolph","PF","MEM",16,34,39,43,16,87,3,0,0,1,0,0,0
3362,2018,18,59,57,1508,12.1,0.473,1.7,0.347,10.4,0.503,2.8,0.785,3.3,10.1,13.3,4.3,1.4,0.3,3.9,4,28.7,"Zach Randolph","PF","SAC",17,54,39,47,12,56,3,0,0,0,0,0,0
3401,2017,17,69,0,1291,6.7,0.39,3.5,0.392,3.2,0.387,3.4,0.804,1.1,5.1,6.2,7.2,3.2,0.6,3.8,4.7,20.4,"Manu Ginóbili","SG","SAS",15,70,20,38,3,34,19,0,1,1,0,0,0
3401,2018,18,65,0,1299,7.8,0.434,2.5,0.333,5.3,0.506,4.3,0.84,0.7,4.8,5.5,6.3,1.7,0.6,4.1,4.9,22.4,"Manu Ginóbili","SG","SAS",16,76,21,39,3,45,15,0,0,1,0,0,0
3410,2017,17,67,8,1198,9.8,0.617,0.1,0.333,9.7,0.624,4.6,0.589,3.8,7.5,11.3,2.6,2.2,1.6,2.9,6.5,24.4,"Nenê","C","HOU",15,30,20,65,16,93,6,0,0,1,0,0,0
3410,2018,18,52,4,758,8.8,0.569,0,0,8.8,0.574,4.4,0.636,3.5,7.9,11.4,2.9,1.8,0.9,2.5,8,22.1,"Nenê","C","HOU",16,15,8,48,13,51,3,1,1,1,0,0,0
3410,2019,19,42,2,546,5.4,0.517,0,0,5.4,0.531,2.8,0.66,3.1,8,11.1,2.3,1.6,1.3,1,7.8,13.6,"Nenê","C","HOU",17,4,2,41,3,26,7,0,1,1,0,0,0
